City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saipan,15.1355,145.701,85.05,73,100,7.96,MP,1723510886
1,vilyuchinsk,52.9306,158.4028,60.78,89,100,0.38,RU,1723510887
2,isafjordur,66.0755,-23.124,43.59,96,100,18.9,IS,1723510888
3,kapuskasing,49.4169,-82.4331,75.29,64,40,3.44,CA,1723510889
4,huarmey,-10.0681,-78.1522,62.6,80,14,8.52,PE,1723510890
5,talcahuano,-36.7167,-73.1167,51.48,87,0,6.91,CL,1723510891
6,christchurch,-43.5333,172.6333,54.91,53,75,9.22,NZ,1723510892
7,sitka,57.0531,-135.33,61.0,70,81,6.93,US,1723510887
8,dunedin,-45.8742,170.5036,56.8,40,79,3.0,NZ,1723510895
9,east london,-33.0153,27.9116,57.45,65,100,7.2,ZA,1723510896
10,lerwick,60.1545,-1.1494,57.02,96,100,0.89,GB,1723510897
11,fuquay-varina,35.5843,-78.8,77.97,87,50,3.87,US,1723510898
12,invercargill,-46.4,168.35,51.03,68,100,5.99,NZ,1723510899
13,namdrik,5.5994,168.1028,84.54,73,100,13.6,MH,1723510900
14,ribeira grande,38.5167,-28.7,74.77,86,100,5.99,PT,1723510901
15,grytviken,-54.2811,-36.5092,14.97,63,100,7.83,GS,1723510902
16,adamstown,-25.066,-130.1015,67.89,76,100,22.15,PN,1723510903
17,port alfred,-33.5906,26.891,56.14,66,100,6.78,ZA,1723510905
18,blackmans bay,-43.0167,147.3167,62.73,52,100,5.01,AU,1723510906
19,gorontalo,0.5412,123.0595,80.13,85,92,4.41,ID,1723510908
20,bredasdorp,-34.5322,20.0403,48.36,81,100,3.98,ZA,1723510909
21,ushuaia,-54.8,-68.3,38.86,70,20,3.44,AR,1723510658
22,san antonio de pale,-1.4014,5.6325,73.98,87,100,12.93,GQ,1723510911
23,vernon,50.2581,-119.2691,81.93,36,100,3.44,CA,1723510809
24,puranpur,28.5167,80.15,78.78,91,2,5.66,IN,1723510914
25,anadyr,64.75,177.4833,61.3,67,75,11.18,RU,1723510915
26,port saint john's,-31.6229,29.5448,57.54,75,100,7.02,ZA,1723510916
27,iqaluit,63.7506,-68.5145,42.53,75,40,2.3,CA,1723510917
28,qaqortoq,60.7167,-46.0333,44.46,88,100,3.69,GL,1723510919
29,port elizabeth,-33.918,25.5701,53.31,81,0,4.61,ZA,1723510831
30,tiksi,71.6872,128.8694,35.69,90,94,12.01,RU,1723510921
31,klyuchi,52.2667,79.1667,63.55,83,0,2.59,RU,1723510922
32,ilulissat,69.2167,-51.1,50.02,53,20,4.61,GL,1723510925
33,yellowknife,62.456,-114.3525,79.32,41,100,5.75,CA,1723510733
34,benguela,-12.5763,13.4055,70.03,83,65,2.13,AO,1723510927
35,santa luzia,-19.7697,-43.8514,70.88,18,0,5.75,BR,1723510928
36,wailua homesteads,22.0669,-159.378,82.74,76,6,8.99,US,1723510929
37,mombasa,-4.0547,39.6636,73.81,88,20,2.3,KE,1723510862
38,margaret river,-33.95,115.0667,58.82,73,100,11.77,AU,1723510931
39,west island,-12.1568,96.8225,80.58,69,20,13.8,CC,1723510932
40,avarua,-21.2078,-159.775,73.45,53,100,6.91,CK,1723510933
41,nicoya,10.1483,-85.452,74.95,95,100,1.43,CR,1723510935
42,smara,26.7384,-11.6719,81.97,44,3,10.89,EH,1723510936
43,badger,64.8,-147.5333,57.99,74,82,1.99,US,1723510937
44,bellary,15.15,76.9333,79.02,76,100,5.59,IN,1723510939
45,longyearbyen,78.2186,15.6401,49.84,87,75,18.41,SJ,1723510941
46,amahai,-3.3333,128.9167,79.47,76,72,4.9,ID,1723510942
47,brookings,44.3114,-96.7984,69.8,68,100,9.22,US,1723510720
48,cabo san lucas,22.8909,-109.9124,82.87,73,58,12.41,MX,1723510945
49,kapa'a,22.0752,-159.319,84.09,62,5,8.99,US,1723510946
50,port-aux-francais,-49.35,70.2167,38.46,81,100,17.69,TF,1723510947
51,kannod,22.6667,76.7333,75.67,95,100,7.18,IN,1723510948
52,papao,-17.75,-149.55,77.79,81,95,9.6,PF,1723510949
53,kodiak,57.79,-152.4072,56.12,58,0,15.39,US,1723510950
54,ust-nera,64.5667,143.2,54.64,80,100,6.15,RU,1723510951
55,ust'-kalmanka,52.1207,83.305,63.72,52,100,3.96,RU,1723510952
56,galle,6.0367,80.217,78.48,89,98,10.18,LK,1723510953
57,puerto natales,-51.7236,-72.4875,37.8,88,51,8.14,CL,1723510886
58,kingston,17.997,-76.7936,85.15,79,20,14.97,JM,1723510807
59,broken hill,-31.95,141.4333,65.5,38,0,8.37,AU,1723510952
60,nar'yan-mar,67.6713,53.087,44.24,93,79,11.18,RU,1723510958
61,nadym,65.5333,72.5167,54.5,88,81,9.69,RU,1723510959
62,banda aceh,5.5577,95.3222,80.85,76,19,2.89,ID,1723510960
63,morehead city,34.7229,-76.726,75.02,94,27,4.0,US,1723510634
64,weno,7.4515,151.8468,84.04,73,55,7.34,FM,1723510962
65,kokpekty,48.75,82.4,63.48,51,100,2.3,KZ,1723510963
66,lugovoye,42.9094,72.7178,73.83,32,100,4.79,KZ,1723510964
67,homer,59.6425,-151.5483,55.78,86,59,7.27,US,1723510965
68,kalevala,65.2,31.1667,53.74,89,100,5.19,RU,1723510966
69,broome,42.2506,-75.833,62.38,74,6,2.21,US,1723510968
70,rongelap,11.1635,166.8941,82.9,79,64,10.09,MH,1723510969
71,tura,25.5198,90.2201,77.23,95,100,4.32,IN,1723510970
72,lebu,-37.6167,-73.65,48.02,86,100,7.56,CL,1723510971
73,waitangi,-43.9535,-176.5597,41.83,84,100,5.99,NZ,1723510972
74,aasiaat,68.7098,-52.8699,37.35,77,9,8.43,GL,1723510973
75,eirunepe,-6.6603,-69.8736,79.52,48,73,3.27,BR,1723510901
76,ndele,8.4109,20.6473,69.8,96,100,1.79,CF,1723510975
77,lompoc,34.6391,-120.4579,63.52,73,100,8.05,US,1723510976
78,nova sintra,14.8667,-24.7167,80.04,83,28,9.06,CV,1723510977
79,bilibino,68.0546,166.4372,34.83,69,98,15.93,RU,1723510979
80,enewetak,11.3474,162.3373,83.28,78,100,12.71,MH,1723510980
81,uturoa,-16.7333,-151.4333,76.93,85,100,13.0,PF,1723510981
82,puerto rico,-26.796,-55.024,42.17,80,0,2.46,AR,1723510982
83,albany,42.6001,-73.9662,64.35,33,0,6.38,US,1723510822
